,location,total_sqft,bath,price,bhk
0, Devarabeesana Halli,1672.0,3.0,150.0,3
1, Devarabeesana Halli,1750.0,3.0,149.0,3
2, Devarabeesana Halli,1750.0,3.0,150.0,3
4, Devarachikkanahalli,1250.0,2.0,40.0,2
5, Devarachikkanahalli,1200.0,2.0,83.0,2
6, Devarachikkanahalli,1170.0,2.0,40.0,2
7, Devarachikkanahalli,1425.0,2.0,65.0,3
8, Devarachikkanahalli,947.0,2.0,43.0,2
9, Devarachikkanahalli,1130.0,2.0,36.0,2
10, Devarachikkanahalli,1417.0,2.0,76.0,3
11, Devarachikkanahalli,1230.0,2.0,58.0,2
12, Devarachikkanahalli,1705.0,3.0,75.0,3
13, Devarachikkanahalli,1116.0,2.0,47.0,2
14, Devarachikkanahalli,991.0,2.0,40.0,2
16, Electronic City,550.0,1.0,27.0,1
17, Mysore Highway,1450.0,2.0,70.0,3
18, Mysore Highway,700.0,1.0,25.5,1
19, Rachenahalli,440.0,1.0,28.0,1
20, Thanisandra,510.0,1.0,25.25,1
21, Thanisandra,510.0,1.0,25.25,1
22, south,2400.0,2.0,480.0,3
23,1st Block Jayanagar,2850.0,4.0,428.0,4
24,1st Block Jayanagar,1630.0,3.0,194.0,3
25,1st Block Jayanagar,1875.0,2.0,235.0,3
26,1st Block Jayanagar,1200.0,2.0,130.0,3
27,1st Block Jayanagar,1235.0,2.0,148.0,2
28,1st Block Jayanagar,2750.0,4.0,413.0,4
29,1st Block Jayanagar,2450.0,4.0,368.0,4
31,1st Phase JP Nagar,1875.0,3.0,167.0,3
32,1st Phase JP Nagar,1500.0,5.0,85.0,5
33,1st Phase JP Nagar,2065.0,4.0,210.0,3
35,1st Phase JP Nagar,2059.0,3.0,225.0,3
36,1st Phase JP Nagar,1394.0,2.0,100.0,2
37,1st Phase JP Nagar,1077.0,2.0,93.0,2
38,1st Phase JP Nagar,1566.0,2.0,180.0,2
39,1st Phase JP Nagar,840.0,2.0,50.0,1
40,1st Phase JP Nagar,1590.0,3.0,131.0,3
41,1st Phase JP Nagar,2180.0,3.0,210.0,3
42,1st Phase JP Nagar,1180.0,2.0,88.5,2
43,1st Phase JP Nagar,1200.0,2.0,86.0,2
44,1st Phase JP Nagar,1394.0,2.0,85.0,2
45,1st Phase JP Nagar,2077.0,3.0,175.0,3
47,1st Phase JP Nagar,1205.0,2.0,85.0,2
49,1st Phase JP Nagar,900.0,2.0,75.0,2
50,2nd Phase Judicial Layout,1450.0,2.0,50.75,3
51,2nd Phase Judicial Layout,1150.0,2.0,40.25,2
52,2nd Phase Judicial Layout,1350.0,2.0,47.25,3
53,2nd Phase Judicial Layout,1350.0,2.0,47.25,3
54,2nd Phase Judicial Layout,900.0,2.0,41.0,2
55,2nd Phase Judicial Layout,1681.0,3.0,69.0,3
56,2nd Phase Judicial Layout,1350.0,2.0,47.25,3
57,2nd Phase Judicial Layout,1150.0,2.0,40.25,2
58,2nd Stage Nagarbhavi,1500.0,4.0,220.0,4
59,2nd Stage Nagarbhavi,3000.0,8.0,451.0,6
60,2nd Stage Nagarbhavi,2400.0,8.0,450.0,6
61,2nd Stage Nagarbhavi,1350.0,4.0,200.0,4
62,2nd Stage Nagarbhavi,1200.0,4.0,225.0,4
63,2nd Stage Nagarbhavi,1500.0,3.0,230.0,4
64,5th Block Hbr Layout,1206.0,2.0,56.0,2
65,5th Block Hbr Layout,1270.0,2.0,70.0,3
66,5th Block Hbr Layout,1312.0,2.0,69.0,2
67,5th Block Hbr Layout,1100.0,2.0,48.0,2
68,5th Block Hbr Layout,3600.0,5.0,130.0,5
69,5th Block Hbr Layout,5100.0,5.0,300.0,6
70,5th Phase JP Nagar,1075.0,2.0,60.0,2
71,5th Phase JP Nagar,1150.0,3.0,52.5,2
